user_id,higher_education_proba,all_mon,col_VO_tran,cr_tran
85ef628894e34ad6869778a9a5d15ba5,0.5,-1595456.3990027017,850.0,-1877.0075282384726
5ec7a78c6efd4d6291e371a6f30ed5c0,0.5,-1426062.2582175985,1099.0,-1297.5998709896255
d0f5d1884ad74e3e9aae7e49f2e1b77b,0.5,-2740743.9470642004,889.0,-3082.951571500788
c3c0f24dda94413ab98036f6d9018d3d,0.5,589125.787550901,1527.0,385.8060167327446
6a137054df2a42218a518479317e5b1e,0.5,-741623.9141353007,696.0,-1065.55160076911
4188a0739ffe4b36a50ce3f9e5347e99,0.5,-606341.8213336006,1170.0,-518.2408729347013
ab41f4cb3394440a886f5b21e0245ab1,0.5,-181124.78685800012,739.0,-245.09443417861993
9faf5b2c0b5c4cbd925a8d6311f8a63b,0.5,-478844.8972799997,715.0,-669.7131430489507
c61429d554cc4eaeb3a63065e91dfc82,0.5,-654963.4762048591,618.0,-1059.8114501696748
3462198221d648b99862982daa13dd7b,0.5,-1604983.3909511187,1498.0,-1071.4174839460072
5ae97de04fbe4925a4c02daabe14c2fc,0.5,-500196.29227129964,564.0,-886.8728586370561
d7910f848f0341dd8081924f5bef85fa,0.5,-1284902.632683241,852.0,-1508.1016815530998
3a1913ecc7d841a7acdcc8f95e4f0227,0.5,-2287049.177320002,619.0,-3694.7482670759323
919afecd26e34175b7d3576027327af9,0.5,-395187.51272470003,588.0,-672.0876066746599
3b28481ead01450c85bfe16b864ff962,0.5,-1349839.1839572,525.0,-2571.1222551565716
c48ce00f61cd4c5cadb12e10e87da184,0.5,-343376.6413371999,576.0,-596.1400023215276
f2a7f4b56beb4abd93a0184c568a46de,0.5,-551067.6834468998,474.0,-1162.5900494660332
9ab5263256f04d13b93582fcb7f2707e,0.5,-240549.50928409977,567.0,-424.24957545696606
26f22824e6da4efb9e119846420ad8b0,0.5,-2502656.691910067,823.0,-3040.8951299028763
651d50b548e84eb4bdd0e1746deb56d7,0.5,-830874.7025024992,586.0,-1417.8749189462444
b2232b5a78924b3786af388ec4aa13a8,0.5,-1335168.5957850993,1122.0,-1189.9898358155965
8cbafd7e74e14545adc08718fc25bb60,0.5,-387689.3321235997,604.0,-641.8697551715227
1850b49b20984407be9a423144022fb2,0.5,-518584.26427640015,872.0,-594.7067250876148
7b17b5e0dea4454d9e17586f878cb9da,0.5,-1517868.379527698,789.0,-1923.7875532670444
bc1591fbe4e3473499a233cf6beece80,0.5,-496787.36919940036,520.0,-955.3603253834623
856e763ba694451991211edc436d03f7,0.5,-390398.3777502005,648.0,-602.4666323305563
7905bcb05e9c46eea223df182307a2bb,0.5,-691579.681085,1010.0,-684.732357509901
f4009f4fe6534a308a6b1fd166ad5fc7,0.5,-1056641.4842249996,702.0,-1505.1872994658113
ba125225fecf4c1c87c2fa35adf2a85a,0.5,-954467.1254150002,481.0,-1984.3391380769235
31f7412db08c4cb1ba5204f5263e3746,0.5,-887412.8150712189,1396.0,-635.6825322859734
c445c7603fc2459bbfa38a8ee97553c3,0.5,-4179787.0892219967,2261.0,-1848.6453291561243
